Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-06-21,105.24,108.0,102.47,102.61,46859,132074,49127,19339258,1.5175658248102E+14,2966,68084683,0.0973,0.053,8.571,1617,97.501,8193,5.042,69098,20.083,1.017,11320275.0,473996.05,101.8
2013-06-22,103.0,104.86,90.0,101.8,44418,117606,40010,19339258,1.6905092869259E+14,2732,40788284,0.13,0.0518,8.182,1011,73.044,8193,4.482,58577,20.048,1.252,11324675.0,500599.417947664,100.0
2013-06-23,101.29,103.0,98.55,100.0,38342,106761,34369,19339258,1.6834363378332E+14,2511,30952948,0.0872,0.0508,8.727,889.345,65.537,8193,5.602,52055,20.08,0.795,11321800.0,368313.32832,100.41
2013-06-24,100.0,101.45,98.5,100.41,44095,135393,44699,19339258,1.4686743042007E+14,2541,55900908,0.0875,0.0492,9.6,1349,80.036,8193,5.602,64862,20.082,1.038,11331950.0,388045.8044,99.47
2013-06-25,100.4,102.3,95.0,99.47,44472,127941,43677,19339258,1.4890579498912E+14,2585,65842281,0.0739,0.0486,9.172,1554,77.311,8193,6.163,61381,20.03,0.857,11332900.0,407676.785224876,97.87
2013-06-26,98.83,101.0,97.47,97.87,45453,120686,45178,19339258,1.6808278537554E+14,2560,56389788,0.0869,0.049,8.276,1348,83.884,8193,5.042,64996,20.052,0.921,11340825.0,429970.61183,98.77
2013-06-27,97.57,99.98,96.13,98.77,45961,127398,43460,19339258,1.5351877402582E+14,2646,49345723,0.0646,0.0483,8.623,1178,81.026,8193,5.602,61024,20.083,0.734,11345025.0,410408.76006,96.31
2013-06-28,98.75,98.76,96.0,96.31,49383,135333,49794,19339258,1.6601755543883E+14,2374,56654059,0.0898,0.0461,8.521,1228,79.156,8193,5.042,68613,20.103,1.129,11343975.0,445143.521071561,89.96
2013-06-29,96.98,97.45,88.01,89.96,36376,105713,38965,20177844,1.6555582269716E+14,2292,42690104,0.0599,0.0446,8.521,1295,75.736,8193,4.482,60981,20.145,0.577,11353150.0,397483.5,88.98
2013-06-30,89.2,91.61,86.2,88.98,30800,92590,34295,21335329,1.7549277596989E+14,1973,34011345,0.0849,0.0449,9.412,1191,64.357,8193,6.163,50492,20.147,0.759,11356975.0,350888.288,89.53
